"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651304,"Los Angeles",6037,NA,NA,237.6329243,NA,NA,76.31207494,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651401,"Los Angeles",6037,NA,NA,185.9995606,NA,NA,85.96176055,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037651402,"Los Angeles",6037,NA,NA,188.1176214,NA,NA,85.73078404,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670001,"Los Angeles",6037,NA,NA,376.6472417,NA,NA,61.02912871,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670002,"Los Angeles",6037,NA,NA,152.8609757,NA,NA,90.56845887,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670003,"Los Angeles",6037,NA,NA,152.8609757,NA,NA,90.56845887,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670100,"Los Angeles",6037,NA,NA,381.0291552,NA,NA,59.59194149,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670201,"Los Angeles",6037,NA,NA,184.0017671,NA,NA,86.0259207,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670202,"Los Angeles",6037,NA,NA,184.2147401,NA,NA,86.01308867,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670324,"Los Angeles",6037,NA,NA,221.8127128,NA,NA,81.58603875,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670326,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670328,"Los Angeles",6037,NA,NA,219.8591894,NA,NA,82.56127294,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670403,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670405,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670406,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670407,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670411,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
